fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"r7/6bR/p1q1P1k1/1p4r1/4pp2/1QN5/PP2PP2/1K5R b - - 2 26",-125,-103,-71,-81
"r4b1r/pp3kpp/4bp2/3p1n2/8/NPq5/P3BPPP/1RBQ1RK1 b - - 1 12",32,208,226,166
"r1b1k2r/2pq1pp1/p2bpn1p/Np6/6PP/2B1P3/P2P1P2/1R1QKB1R b Kkq - 3 10",21,19,2,-21
"1k4r1/p2R1p1p/1pp3p1/2b1P3/5P1P/6P1/q3B2R/4K3 b - - 1 27",618,492,517,518
"3rkb1r/pb5p/n1p2p1n/1p2q1pP/1P6/P1PBBN2/5PP1/RN1QK2R b KQk - 5 10",-59,-59,-57,-28
"2r5/1r4pp/3pk1n1/1p2p1PN/1B2P3/3K1N2/8/5R2 w - - 6 41",-143,-226,-231,-244
"1r4r1/8/3k4/P1p2R2/3p3p/1P3R1P/6P1/7K b - - 0 38",89,-34,-33,-30
"2kr3r/1ppqbppp/6n1/p1n5/P2NP3/3PBN2/1PQ3PP/3RK2R b - - 8 12",101,65,97,120
"1B4k1/6p1/7p/PN3p2/2Pp2n1/1n1P2P1/1P2r2P/5RK1 b - - 0 24",-76,-168,-193,-195
"r3k1nr/1pp3pp/p1n5/4Pp2/2Pq1P2/1P1pN1P1/P2P3P/R2QKB1R b KQkq - 0 11",-47,-23,7,-54
"8/8/8/8/K7/Pn6/1P5k/8 b - - 0 69",-307,3,-51,-110
"8/1k6/3b4/p2n4/3R4/8/P1K5/8 b - - 3 63",32,111,142,150
"3r1rk1/p4pb1/1p4p1/2p1p2p/q1P1P2P/1nP1QP1N/1P4R1/1R2KB2 b - - 1 20",299,195,204,197
"8/5Rp1/p7/P3P1k1/7p/8/7K/2r5 b - - 7 40",189,135,105,87
"5r1k/4n1p1/pP5p/3B4/P1P1p1b1/2P1P1q1/3Q2P1/RN4K1 w - - 0 24",66,331,297,254
"1r3k2/p1RQ4/8/P2P4/4p2p/5b2/5P1R/q1B3K1 w - - 5 39",15000,15000,15000,15000
"rn5r/pbq3k1/4Qpp1/1Bb2n1p/N2p1P1P/P4N1R/1P1B2P1/1K2R3 w - - 0 19",418,39,194,166
"6r1/ppp2p1n/4b1rk/7q/2P1N3/P2PPR1P/1Q4B1/5R1K w - - 10 24",58,280,89,167
"r1q1kb1r/1b1p1ppp/4p3/p7/3B1n1P/5N2/PPP3P1/R2QKB1R b kq - 1 11",261,139,160,123
"8/8/2k2r1p/3pp2R/8/4K3/3N4/8 b - - 1 38",25,29,39,26
"r3k3/6p1/1B1R1p2/P3p1n1/1p5r/5P2/1PP5/1K2R3 w - - 1 26",176,64,52,76
"rnb1kb2/ppp3r1/4pn1p/3p4/3P1Np1/2P5/PP2P1BP/RNB1K2R w q - 1 9",-15,-108,-122,-103
"r2q1rk1/1b1pbppp/4pn2/p7/1nNp4/1P2PN1P/1B2BPP1/R2Q1RK1 w - - 0 11",-144,-67,-42,-69
"8/8/8/1r4p1/4K3/5P2/3B2k1/8 b - - 18 73",104,203,228,219
"rb5r/4kp2/4p3/1B2n1P1/NP6/P7/5KP1/2RR4 w - - 3 24",159,325,278,265
"4r3/p5q1/kp1n3p/2pQ1p2/8/P6P/P3PP1K/2B2R2 b - - 4 22",150,140,60,77
"1r3rk1/3Q2p1/4p2p/2pp3q/Pp6/4RN2/3N1PPP/6K1 w - - 0 21",-82,-8,-28,-14
"r2kbb1r/1pq5/p2p1N2/2pPp2p/3n4/PP1Q3P/1BPP1P2/R3KB1R b KQ - 0 13",60,-134,-123,-105
"R7/6pk/2p1p3/4Pr2/2qr1p1P/P4Q2/5P2/4R1K1 w - - 0 37",-58,1,-21,-41
