fen,stockfish_eval_cp,gen1_master_eval_cp_nodes10000,gen1_master_eval_cp_nodes20000,gen1_master_eval_cp_nodes50000
"4n3/1p4pk/4p3/p2pBpqp/P2P3b/PR3Q2/2r2PP1/5RK1 w - - 2 24",270,49,112,116
"rn3rk1/pR1pqppp/4pn2/2p5/Q1PP4/3B1P1P/P2B1PP1/5RK1 w - - 0 13",240,109,41,69
"8/P3R3/8/5p2/5k2/2K5/4p3/r7 b - - 1 73",423,277,280,286
"5k2/2r4p/2P1p3/Nb3p2/1P5P/2b3P1/1R3PB1/6K1 w - - 2 29",225,173,220,203
"r1b1k3/1p3r2/2n3Qp/p1Pp4/5B1q/P1P5/4BPP1/RN2K3 w Qq - 4 21",118,12,7,36
"r1bq1rk1/1pp1b1pp/3pp3/p4p2/2PPnP2/PPB1PNP1/2Q3BP/R3R1K1 w - - 7 12",29,26,3,32
"r3k1r1/4p2p/1qbp1n2/p1n4P/3R4/2P1BP2/2P3P1/3QKB1R w Kq - 3 15",-342,-123,-108,-104
"r1b1k2r/pp2n1p1/1q3p2/2bBp2P/2P5/P4N1P/1P2QP2/R1B1K2R w KQkq - 3 12",-8,37,37,53
"8/5kp1/8/3p3p/2pN1Pb1/2P5/3K2Pr/6R1 b - - 1 31",253,242,306,315
"6k1/6p1/2q4p/5Q2/2r2BKP/6P1/8/8 w - - 21 54",-280,-307,-273,-294
"2nk3r/3b1p2/2p3p1/1prp2Pp/3N1K1P/3B1P2/3R4/R7 b - - 1 36",375,334,324,328
"1r3k2/2r2Pp1/R1pN2R1/4p2p/4K2P/3P1P2/8/2n5 w - - 0 32",317,119,101,139
"r6r/4nk2/1pPqbp2/1P2p3/1b2P2p/4B2P/2QN1P2/3RKBR1 b - - 2 29",62,-97,-78,-36
"4r3/1k6/1P6/1P2pp1p/8/3pB3/6PP/4K3 w - - 0 34",-450,-190,-208,-260
"8/pp3kp1/1b5p/3r1p1R/P3r3/1P3N1P/6P1/4RK2 b - - 2 26",334,276,244,227
"1kn1RQ2/8/2q5/1pPp3p/6p1/P1b5/5PPN/6K1 w - - 9 34",441,322,329,413
"8/5k2/N5p1/8/7p/6P1/2p4P/2B1K3 w - - 0 45",507,518,669,665
"1k6/3R4/8/1P6/1K6/8/8/2r5 w - - 3 72",34,210,217,223
"r3kb2/1ppnpp2/p1r2n2/3q2N1/PP4Q1/N1P5/3P2PP/R1B2RK1 w q - 3 10",76,13,26,46
"3R4/8/8/8/8/4kp1p/1r6/6K1 w - - 12 73",-237,-461,-461,-436
"5rk1/2pb2p1/p5q1/P2p1pN1/3B1P1p/1Q1P2rP/6P1/4R2K w - - 0 32",582,122,104,75
"r1b1k1n1/p2p3r/1p3p2/2PP2p1/1P6/1N1QBq2/2P2P1P/4KB2 w q - 0 15",295,17,56,162
"1kr5/1p6/p2np2R/3qBp2/Q4P2/1P4r1/P1PP4/1K1R4 w - - 0 34",363,437,420,484
"8/8/8/Bk6/8/8/5p2/5K2 b - - 3 57",26,-4,0,0
"5R2/pkp5/1p6/3b2p1/3P4/2PK4/PP1Nr1r1/3R4 b - - 11 25",235,165,183,177
"r1bq1r1k/pp1n2pp/3b1n2/1P1p1p2/P2P4/1Q2PpP1/3N1N1P/R1B1KB1R w KQ - 0 11",-162,-89,-76,-34
"r4bk1/pp3rpp/n1n5/3N1p2/2P5/B4NP1/P5KP/3RR3 w - - 11 24",4,29,47,12
"2r3k1/p2b1npp/8/8/4p2P/NP2P3/2P1BPP1/5RK1 b - - 1 21",-387,-22,-39,-32
"4k3/2R4P/K4R2/4r3/p4p2/P7/7r/8 b - - 0 57",-151,-176,-185,-233
"2kr4/rp2R1p1/1q2p2p/p1p1Q3/2B3pP/P1B1P3/1P6/2K5 b - - 0 23",-469,-182,-187,-211
"r5nR/2p1p3/5pk1/2BP1b2/6p1/8/2n1B3/2R3K1 b - - 1 27",22,-4,33,51
"8/8/6k1/3p2p1/p2P4/B1P5/1P3K2/3b4 b - - 5 46",23,96,85,117
"2k3r1/1pp1n3/p4p1r/P3pn2/2P1P3/P1B1P3/5K1p/2R2B1R b - - 0 25",598,287,324,359
"5rk1/pB1bq1pp/2p2n2/2p1p3/P1P2pP1/3P1P1P/P3P3/1R1QK2R w K - 2 15",275,201,201,218
"2kr1b1r/p1p2pp1/1pn1p3/3q1n1p/1P2NP2/P2P1NP1/2P4P/R1BQK2R w KQ - 0 9",-48,-69,13,-30
"1k1b3r/4r3/R4p2/1p2p2p/3p2pP/1P4P1/PB3PB1/5K2 w - - 1 33",-29,15,-31,-31
"1k6/8/1pK5/1P3B2/P6p/8/8/8 w - - 11 61",563,1614,1611,1707
"8/3k4/6p1/3p1p1p/3PnP1B/2P1P3/b1K1B3/8 b - - 11 51",45,41,35,27
"1r2k3/1b3p1p/pN1pp3/2pP4/2PNP3/1P3n2/P1R3rP/3K3R b - - 1 22",67,29,43,39
"r2r2k1/5p1p/4p2n/ppQ5/3PP1Pq/7R/4NPP1/5RK1 b - - 4 21",-430,-136,-161,-215
"r4bnr/1pp2kp1/p6p/3qpp2/1P2NP2/P2P3P/2P1Q2P/R1B2RK1 b - - 0 9",30,-60,-41,-21
"8/2p2kpp/P2b2p1/1P6/8/7P/R4KP1/7r b - - 0 31",293,212,168,190
"6k1/2p4p/4R3/r5p1/1p6/1P2Pp2/1BP2P2/3K4 w - - 0 32",350,162,165,213
"3qkb1r/prpp2pp/5n2/5p2/QPP2P2/P4PP1/7P/R1B1K2R b KQ - 0 12",311,150,136,144
"b7/6k1/3np3/7R/3PpPP1/8/5K2/8 w - - 1 47",-15,-38,-26,-59
"1r3r1k/q4ppb/4p2p/2bpP2P/p1p5/P1B1PBP1/R1P1QP1K/3R4 w - - 17 35",-173,93,47,66
"8/p2k2p1/3Np3/3pP3/3n1QP1/3q4/6PK/2R5 b - - 2 34",378,336,432,448
"r2qrk2/pnp2Bpp/8/8/b2P1B2/4P1PP/Q4P2/5RK1 b - - 0 20",185,257,257,219
"2r1r1k1/1p3bp1/3n4/pP6/q2N2R1/2PPp3/1Q4B1/1KR5 w - - 0 27",47,-114,-73,-85
"r5k1/1b1nbpp1/4pn1p/2pp2P1/1p3P2/1P1PPN1P/2PN2BK/q1BQ1R2 b - - 0 13",210,78,83,83
"r7/8/p2pk2p/R3p1p1/P3K1P1/4P2P/3P4/8 b - - 5 39",-31,-127,-160,-131
"r3k2r/1pp1qb2/2n2n1p/3pbB2/pP4pP/P1N1P3/1BPQNPP1/1K1R3R b kq - 0 15",-182,7,7,-60
"1r1q1rk1/3bb1pp/3p1n2/pNnPpp2/P7/N4PP1/1P4BP/R1BQ1RK1 w - - 3 14",0,-1,-29,-25
"8/3b4/3P2k1/4Q1p1/8/p4R2/P4P1K/5q2 w - - 3 39",518,1078,1329,1694
"8/p5k1/6p1/pr3nPp/2p1K3/3p4/R7/6R1 b - - 1 41",456,584,532,545
"8/7b/7P/8/5k2/8/7K/8 w - - 20 68",4,-251,-300,-293
"r2qk2r/1p1b2pp/p2b1n2/3pnp2/8/1P1BPP2/P1N3PP/1RBQK1NR w kq - 0 10",-115,-101,-125,-128
"r1b1k2r/ppp2pbp/3p4/3P4/5p2/1PPP1q2/P2B1N2/R3K2R w KQkq - 0 18",-625,-815,-805,-794
"Q7/8/8/5k2/7p/1p6/8/6K1 b - - 0 46",-613,-543,-590,-650
"4r1k1/p2b2p1/7q/p1p2p1P/2Np2P1/P2P4/1PP2Q2/5K1R b - - 2 24",433,495,503,523
"r4k2/1bp5/p1n2nrp/8/B3pP2/2P4N/PP3B2/2KRR3 w - - 0 22",320,68,78,79
"8/6k1/6pp/3P4/4RpP1/4p2K/3r4/8 b - - 1 47",621,449,425,418
"r4knr/p5p1/3N1p2/2bQ4/6P1/3Bp2P/P5K1/4R3 b - - 1 22",-727,-779,-833,-856
"4B3/p1k3rp/2P5/3pp3/7P/B1P3P1/P2P1b2/3K4 b - - 6 24",188,28,51,59
"8/6b1/1p2b1k1/1p6/1P3R1P/3KN3/8/8 b - - 10 51",-303,-240,-234,-260
"2r1kbnr/pb1p1ppp/q3p3/8/1n2P3/1Q1P3N/P2B1PPP/1R2KB1R w Kk - 4 9",4,-31,-47,-25
"8/8/1k6/5p2/8/2p1N3/5K2/8 w - - 0 54",-17,149,162,163
"r1bq1rk1/1p4pp/p1n2p2/3pn3/N7/3B1N1P/1PPQ1PP1/R3R1K1 w - - 0 15",5,-126,-117,-108
"rnbq1rk1/5p2/2pb2pp/2ppNn2/P3p3/B1N1P2P/2QPBPP1/R4RK1 w - - 4 14",-205,-7,7,30
"8/1kp5/6p1/p4pPp/P7/1P1RQ3/4KP2/6q1 b - - 1 39",-521,-398,-442,-459
"r2qr1k1/1p3pp1/p1pb1nbp/8/P2P4/2N3P1/1PPB1QBP/R4RK1 b - - 3 14",243,67,75,74
"8/6pp/3Q4/4pk2/1p3P2/1P3P1K/Pq5P/8 w - - 1 44",274,270,329,279
"8/1b2k3/8/1p3r2/pN2n3/2P5/BP6/2K1R3 w - - 8 38",188,103,93,85
"6k1/1b2r3/5bpp/1p1q1p2/p4P2/P2r3P/1PQ3PB/2RR3K b - - 1 34",533,435,416,485
"8/8/8/4Rp2/1k2bB1p/7r/4K3/8 w - - 0 58",-89,-281,-285,-281
"2r3k1/5r2/p4q2/4p3/P2p2PN/1P4PK/3Q4/8 b - - 1 39",628,777,828,828
"1r1qkb1r/p1pp1ppp/n7/4Pp2/3P1N2/Pp1P1Q2/1P5P/R1B1K1R1 b Qk - 0 14",146,73,69,88
"r3k2r/1pqb1pp1/p4n1p/4p3/1P1b2PP/P1NQ4/1BP2P2/R3KB1R b KQkq - 1 15",313,151,197,182
"2r1r1k1/4b1p1/R1n1b1q1/4pp2/P6p/2PPBP2/5NPP/3QKB1R b K - 0 18",241,-18,-38,6
"4r1nr/pp3k1p/n2q1p2/2pp2pP/3P4/P1PB3N/1PQN1PP1/R4K2 b - - 1 12",193,46,85,74
"1k6/2bR4/5r2/p6p/2K1N3/7P/5P2/8 b - - 17 52",22,54,34,52
"2r3k1/7p/1P5b/p3p3/3p3P/3PnPPR/1R2KNr1/1N6 b - - 0 29",431,353,366,374
"r1bqr1k1/p4pp1/1p1p1n2/7p/2P4P/B1N2P2/P3N1P1/2KR1B1R b - - 0 15",486,173,122,130
"r1b1kb1r/1pp2p2/2n3p1/pB1n3p/P3N3/5P2/1PP1N1PP/R1B1K2R b KQkq - 1 9",2,-16,-9,-9
"r4bk1/Nb3pp1/1n2r2p/Q1p4P/P3B2q/RP4P1/1B1N1P2/5K2 b - - 0 21",513,363,335,401
"r1bqk2r/6pp/p1nb1n2/1pp1p3/5p2/PPN2N2/1BPPQPPP/2KR1B1R w kq - 0 9",54,50,31,59
"1R6/5ppk/2p4p/2P2r1r/3P1Pq1/3PP3/6P1/2R1Q1K1 b - - 4 34",156,-157,-174,-166
"4Rb1r/1k3P1p/1p5p/2p5/2Pn4/p3N3/6P1/B5K1 b - - 4 32",-161,84,78,5
"2R2b2/5k1p/5p2/8/2P4N/6PK/5r1P/8 w - - 4 34",104,88,126,124
"2kr1b1r/1bpqn1pp/p1np4/1p1N4/4QN2/1P6/PB3PPP/1K1R1B1R b - - 2 11",159,0,28,14
"r1b1k2r/ppq1bpp1/7p/2pnp3/P6P/3P1N2/1PP1BPP1/R1BQ1RK1 b kq - 3 9",56,55,89,61
"r2r1bk1/2q2ppp/8/2p1pB1P/1nN1P3/pR1PP1P1/P3QR2/7K b - - 48 47",-59,93,140,88
"r4bk1/1r6/3pbnpp/1B2pp2/PQ6/4P3/2qNNPPP/R1B2RK1 w - - 3 21",502,291,226,225
"8/5rk1/4r3/2Qpb1p1/3p2P1/1P1P4/2P2RK1/8 w - - 2 45",375,391,353,353
"7r/1p2k3/8/PP3p2/2PrpPp1/2R5/R6P/4K3 w - - 2 37",268,16,127,87
"7k/p1p5/1pn1b2p/3pP1rP/3P4/B1P1N3/P6K/5R2 w - - 0 29",142,41,56,85
"1r3rk1/6pp/8/p1q1p3/P2nQ3/1PN2P2/2P4P/R4RK1 w - - 1 20",-100,83,-2,-59
"r3kbr1/1p5q/2p1bp2/p3pN2/1P2P1n1/2Q4N/P2B2B1/R4RK1 w - - 0 22",172,55,66,51
"5rk1/R2Q4/5p2/2P1p1p1/2qp4/5PK1/7P/8 b - - 1 41",18,82,83,61
"8/1b2bp2/4p1p1/k1p1P2p/ppP1PP1P/P3B1P1/1P2B3/2K5 w - - 29 47",50,119,130,130
"8/8/5k2/1N1n3Q/P7/1P1q1r1p/KR6/8 w - - 9 43",115,9,-12,-32
"2kr3r/2p2pp1/pp6/4pPPp/P1n1P2P/2Pb1B2/P6R/R3K1B1 b - - 5 19",245,133,105,119
"2r1k2r/p1pn4/1p2p2p/3pP3/1P1P4/4P1PP/P1Q5/q1B1KBR1 b k - 0 19",-52,-91,-92,-101
"2q3k1/1r3pb1/r3pnp1/3pN2p/p1pP2P1/P1N1PQ1P/1PPR1PK1/1R6 b - - 0 17",20,-127,-126,-65
"8/2R3p1/r7/3kP3/3b4/6pP/2PB2K1/8 b - - 0 34",39,79,28,13
"2r1k2r/pR1bnpp1/4p2p/3pPP2/3b3q/P1PBB3/2P3P1/3Q1RK1 w k - 0 14",147,102,44,77
"2k3r1/7R/p6p/P1p5/2P5/3Pr1b1/1P4B1/1Q5K b - - 4 33",-208,-287,-263,-277
"3r3k/8/3p2p1/pP6/PbQ1p3/8/5PP1/1qBK4 w - - 0 27",-298,-256,-299,-362
"8/6p1/8/4r2p/p6P/k2K4/8/6R1 b - - 1 47",343,366,369,346
"2k1r2r/pbpq1p1p/1p1p2p1/3P3n/P7/2P2BP1/2P2P1P/R1BQR1K1 w - - 1 16",128,53,47,38
"5rk1/p4ppp/1p1r3q/6P1/8/2P2NP1/PP2P3/R3KB2 b Q - 0 13",658,380,406,429
"2k3r1/1rn5/2pQp3/1p2Bb2/7p/1P3BPq/5P1P/5RK1 w - - 2 26",337,80,205,259
"6k1/1p3pp1/p7/2p2P2/2Pnq2P/P1R5/KQ1R4/3B1r2 w - - 5 37",297,227,279,243
"7r/6N1/p4k2/3p1p2/2nPP3/6Rp/4K2N/8 b - - 2 33",288,268,227,246
"3k4/8/5r2/5B1P/5K2/8/8/8 w - - 1 59",10,171,77,83
"5r1k/p4bp1/1p1P3p/3pR3/P7/4B2P/1P2B1pK/8 b - - 0 30",-439,-220,-122,-148
"1r2r3/2p1kpp1/4q2p/3pnb2/PP2B3/2P3P1/4Q2P/RNB2RK1 b - - 0 17",214,159,115,114
"r2r2k1/4pp1p/2p3p1/p5P1/P7/4B2P/1b4P1/3R1RK1 b - - 2 21",303,246,234,212
"8/1pN2k1p/2b5/r1p5/p1n2BP1/7P/PP2R3/6K1 b - - 2 30",-77,38,27,6
"4r3/bkn3Qp/2p5/p2p4/Pp6/8/1P1K4/q7 b - - 0 32",992,2882,2942,3200
"7k/2r3p1/4q2p/p2pPp1P/1b1P1P2/1Pr1BQ1P/P5RK/6R1 w - - 7 48",166,408,378,372
"2r3k1/4p3/4b1p1/4Pp2/6Pp/pP2B2P/Pr1R1PK1/R7 w - f6 0 34",-7,131,112,105
"8/4R1pk/7p/5p2/3pn3/2q2PPn/4B3/3Q1K2 b - - 0 54",496,471,434,434
"rnb2rk1/1p2qpbp/2pp3p/p7/1P1P4/3BPNP1/P2N1P1P/2RQK1R1 w - - 0 10",33,93,133,84
"1nkr1b1r/pppn1p2/4b1pp/4P3/4P3/P1N1BN1P/1PP3P1/R3KB1R b - - 4 10",65,-106,-125,-105
"7k/7p/1bp5/p3p3/4Nr2/1P3P1P/2P1K3/6R1 w - - 2 33",225,46,90,79
"r4r2/1p2ppkp/2pn3p/3p1b2/3P3N/4P2P/1QP2PP1/6KR b - - 6 18",-92,291,222,213
"r4rk1/pp1b1pbp/4p1p1/3pP1P1/P4B2/2N5/1P5P/R3KB2 b - - 4 20",495,362,342,355
"r2q1rk1/pb3p1p/1p1b1n2/2p2p2/3p4/PP5P/1BPPNPP1/RN1QR1K1 w - - 0 13",-308,-45,-36,-73
"1k1r2nr/pbpp2pp/1p1b1p2/1P1Nnq2/Q1P1pN2/4P3/1B1P2PP/R4BKR b - - 1 12",-57,193,123,106
"3k1r2/Q6p/3p1q2/2rBn3/2N3b1/1P6/P4PP1/3R1RK1 w - - 3 22",442,232,232,407
"8/1pB5/p3k3/2p3p1/PPP5/2K2n2/8/8 b - - 0 37",234,87,218,182
"r3kb1r/pb1q1ppp/5n2/4N3/1P1p3P/4P1P1/1PP2P2/R1BQKB1R b KQ - 1 10",76,60,54,55
"6R1/1kp5/ppN5/1P6/2PP4/P2K1p2/7n/8 w - - 0 53",15000,15000,15000,15000
"r5k1/3p3p/4b3/p6p/P3q3/2Q1Br1P/5PP1/3R2K1 w - - 0 27",-29,-118,-121,-122
"r6r/3k1p2/2Np2P1/3P3p/R6P/3B2P1/1b3P2/6K1 w - - 2 29",503,365,414,432
"2r5/Rp3p2/4b2p/1P4pP/2Pk2P1/3B1P2/3K4/8 b - - 6 35",-68,-80,-145,-156
"4rrk1/p1p2p1p/2N5/1P6/2NpPqP1/3P4/6PP/5R1K w - - 0 32",414,298,298,323
"r2q1rk1/1p2bbpp/2n5/p1pnpp2/P7/N2PPP1N/1P1BB1PP/R2QK2R w - - 12 11",-165,-90,-78,-108
"4rrk1/p5pp/7q/3P4/2PN4/5N2/PPQ3Pb/5R1K w - - 0 23",117,131,168,177
"2kr1br1/1p5p/p1n1b3/2pNpp2/P3P1nP/2P4N/1P1B2P1/R1K2B1R w - - 0 13",-8,1,51,36
"6k1/pb3p2/1p3b1R/2p2P2/P4P2/2PrB1K1/1P6/R7 b - - 0 28",228,97,124,160
"1b1q4/3b1ppk/5n2/2Pp4/3Pp2p/1P2N1P1/3BBP1P/R5K1 w - - 0 28",-253,-1,-49,-75
"8/8/p1k2p2/5R2/P4P2/2b1P3/3p3r/3K2R1 w - - 2 41",221,194,177,203
"8/5k2/2b1p3/bp3p2/p1r4p/P2RPP1P/3PKP2/1B4R1 w - - 2 30",150,108,107,153
"2kr1b1r/pbqp2pp/2n1p3/2pn2N1/1pN2P2/PP1PP3/1BP1Q2P/R3KBR1 b Q - 4 12",-188,-34,-9,-19
"1kr1b3/p7/3b1B1p/5Rp1/1Pp2p2/8/P2P2PP/5R1K b - - 0 29",-224,-107,-88,-89
"8/5p2/1q3N2/4n3/7k/8/1P3R2/6K1 w - - 10 57",-420,-377,-359,-450
"1q6/6pk/6rp/3Q1B2/p4P1P/P2P2P1/1r3P1K/R7 w - - 1 30",424,472,489,539
"7k/2R5/3NB3/5p2/K1pb4/PP2n3/7r/8 b - - 1 38",-23,-53,5,-15
"2k1r3/8/pp3pp1/2b2n1p/2P4P/P2p2PB/2bK1P2/R1B3N1 w - - 0 25",-357,-273,-243,-279
"1rr3k1/3n2pp/R7/R1pb1p2/4p3/1P2P1P1/1BK1BP1P/8 b - - 0 31",18,134,134,97
"rn2k2r/p3bppp/2p2n2/B2p4/Q2Pp1b1/3qP1P1/2N1NP1P/R3KB1R b kq - 0 11",225,261,208,185
"5rk1/3nbppp/b3p3/2Pp1n2/2q1P3/PNN3PP/1BP2PB1/3Q1RK1 b - - 0 17",-130,-215,-207,-197
"r1k2bnr/1pp2Npp/8/1P3b2/P2n4/1P6/3PBPPP/2qQ1RK1 w - - 0 12",-475,-294,-302,-351
"3R4/5pk1/8/6pp/8/2r4P/5PK1/8 w - - 0 43",-8,-174,-187,-159
"rnbqk2r/5npp/2p2p2/p2Pp3/Pb1P2P1/2N2N1P/1PQB1P2/R3KB1R b KQkq - 0 9",-18,-76,-87,-58
"8/6pp/1p1r4/pBkn2Q1/P4n1P/4p3/1P6/1K6 w - - 3 34",-69,9,7,-72
"1r5k/P1R3pp/8/8/2p5/6P1/1p4KP/R7 b - - 0 34",-335,-636,-698,-794
"rkb4r/8/p1p3p1/2Qn4/2N2p2/6P1/5P1P/2q2BK1 w - - 5 26",-284,-648,-687,-644
"2kr3r/p4pp1/1p1b1n1p/2n2N2/4p3/P1N1P3/RB2KPPP/7R b - - 3 15",83,142,114,137
"4r1k1/2q2p2/4pn2/p4pN1/Pp5P/1Pr3p1/4Q1P1/3R1RK1 b - - 3 29",483,428,404,404
"r2n3r/2k3Np/p2p4/1p1B4/2pPP1Q1/2P5/5P2/R3K3 b Q - 1 22",-661,-590,-606,-601
"r1bq1rk1/1ppnb2p/4p2B/4PNpP/p5p1/2P1Q3/P2N1P2/R3KB1R b KQ - 0 15",243,191,207,226
"6k1/1R3ppp/1b6/6P1/5B2/3K4/1r6/8 b - - 12 41",9,179,192,125
"3b2k1/p2r3p/2R5/2B2pp1/8/2P4P/2P2P2/6K1 b - - 0 29",2,12,4,-5
"b2k2nr/3p1ppp/2q5/4R3/1p1p1N2/5PP1/1P5P/1NBQ2K1 b - - 0 13",-285,84,80,63
"1r3k2/K4p2/2PR4/6R1/5P1p/8/8/2r5 b - - 3 58",0,-15,57,18
"3r4/4r1p1/1pkn1b1p/p1pp1p1P/P7/1P1BP1P1/5P2/2RRBK2 w - - 28 47",-32,-54,-42,-39
"6R1/1pp2B2/p1b3pk/8/2PK3p/4P3/r6P/8 b - - 3 35",263,226,268,290
"1n1q1b1r/1r3k1p/1p2ppp1/pB1p1n2/P2P1B2/2P2P1P/1P5P/RN1Q1KR1 w - - 2 12",-124,0,34,68
"r1b2rk1/1pq1bppp/2n4n/1B1Q4/p6P/2P1N3/PP3PP1/R1B1K1NR w KQ - 1 10",29,109,144,139
"3rk3/p4p2/p7/2q1P2r/P2NQ2b/2P1nP2/3KN3/R7 w - - 0 21",-194,-276,-287,-281
"3k1r2/pp2p2R/2rp4/8/qP1Q4/4N3/2P2PP1/4K3 w - - 3 26",-133,-35,-82,-82
"r3kb1r/8/p2qpp1p/3p4/7P/PP2Q3/3N2P1/R4RK1 w kq - 0 16",203,135,147,108
"8/8/3p2R1/2pP4/2r5/5k2/6p1/3K4 w - - 0 58",-622,-516,-516,-599
"r7/2k2n1p/4RP2/3n1P1P/p2P4/B4N2/5K2/8 w - - 1 43",436,344,305,433
"r3k1r1/pp3ppp/2n1b3/3p4/1P2n2q/P3QR2/1BP2PP1/2KR1BN1 w - - 2 14",244,-78,-54,-18
"7r/6RP/3nk1b1/8/2p5/8/8/5RK1 w - - 0 42",292,267,262,282
"1rq1kb1r/p3pppp/3p4/2n5/N2N4/6PP/1PP1PPK1/R2Q1R2 b k - 0 11",24,137,136,81
"r1bq1rk1/pp4pp/2p2P2/2bp4/5N2/2P2P2/PP5P/R1BQKB1R w KQ - 0 10",162,139,159,150
"1k6/7p/8/q7/2P5/3P1Q2/2K1B3/8 w - - 3 43",337,376,412,448
"2r1rbk1/2qn1p1p/p2p1np1/8/1PN2P2/2QP1P2/1B2B2P/R3K2R b - - 0 19",451,166,166,166
"r2k1n1r/pbp3p1/1p1pB2p/5P2/3PnBPq/2P2QRN/P6P/R3K3 w Q - 5 15",-123,-47,-13,-26
"4k3/8/2p1p3/2P1P3/8/8/3K2p1/r2B2B1 w - - 6 51",-84,-63,-66,-57
"4k3/p4p2/5B2/1rp1Pq2/5b2/2PN4/PPK1Q3/8 w - - 0 25",226,72,72,333
"r2k3r/pbpp3p/1nn2pp1/2b1p3/p2PP3/2P2N2/1PN2PPP/R1BK1B1R b - - 0 10",114,93,113,101
"8/8/8/5ppk/1r6/8/2RBPK2/8 b - - 1 40",-133,-154,-163,-189
"1Q6/4qpk1/6p1/r7/P7/7P/6PK/5R2 w - - 19 55",15,130,105,97
"5kr1/1B3p2/4n3/7P/3bN3/8/2K2P2/7R b - - 2 32",-15,-126,-152,-135
"1k5r/1p3R2/2n2p2/6p1/P5P1/1Pb2P1p/7P/1K1R4 b - - 3 30",330,130,154,129
"3R4/2P5/8/6p1/5pK1/P1r5/4kp1P/8 w - - 4 77",-323,-236,-236,-281
"2k1rbnr/1b1p2q1/1ppP1p2/pN1B4/P7/2P2Q2/1P4PP/R1B2RK1 b - - 0 16",55,54,61,56
"r3k3/1ppb4/2n1pb2/8/p1NP2P1/3BB3/PP3P2/2RK4 b q - 0 18",-48,-56,-35,-67
"r3k1r1/1ppqbp2/p6p/2n1Q3/3pPB2/6P1/PPPNK2P/R4R2 b - - 0 19",115,98,86,100
"r2k1b1r/1p3p2/p1b2N2/3pn1pP/7n/1PP1BP2/P1N1BK1P/3R3R b - - 4 19",-280,-93,-180,-163
"5Q2/kp6/p3p3/4Nn2/Pp1pB1p1/1P1P3P/2q5/4R1K1 w - - 0 31",529,743,765,785
"3r4/5qpk/1p5p/2p2p2/P4P2/2Q3PP/3n1BB1/R5K1 b - - 2 27",-329,-94,-139,-124
"r1bq1rk1/5ppp/2p1p3/3p4/3P3n/1PN5/P2QNPPP/R3K2R w - - 0 12",-88,71,36,32
"r2q1bnr/pkp2bp1/1p6/3P3P/4p3/2N1BB2/PP3P1P/R2QK2R w KQ - 0 12",198,288,282,274
"r2q3k/1p5p/p1p5/2PbRp2/3P1Q1p/8/2r2RP1/6K1 b - - 2 27",358,628,549,558
"6Q1/4b1n1/bpk2p2/p1p1p3/3pP1q1/1P1P1P2/PBPN4/2KR4 b - - 0 29",-364,-218,-211,-197
"r1b1kr2/2Q1n2p/p2p4/1p6/3n3q/P4PN1/1P3KPP/R1B2BR1 b q - 0 14",232,-8,33,-2
"r7/2p3R1/P7/2p5/k2p1P2/3Pr3/P2KP3/1R6 b - - 4 43",-172,-260,-196,-219
"r2q3r/p3k1pp/2Qbp3/8/1P1PP1n1/P4N2/6PP/R1B1K2R b KQ - 0 16",-300,-260,-212,-242
"8/3rk1p1/7p/PR6/5P2/4P3/2rpK3/3R4 b - - 0 35",-7,-36,-30,-34
"2q2rk1/2r1ppb1/6p1/2nN1n1p/1R5P/5Q2/2PPNP2/2B2RK1 b - - 9 19",156,54,-1,-7
"5rk1/2p2pp1/2p1p3/2P3Pp/3Pn2P/4Bqb1/PQ3P2/R4K1R w - - 0 16",131,163,157,164
"r4rk1/1p1bq1pp/2n1pn2/1N3p2/Rbp2P2/4PN2/1B1PB1PP/3Q1RK1 b - - 0 14",161,150,156,149
"7r/1bpk1pp1/5n1p/5p2/2PP4/B5P1/3N3P/5RK1 w - - 0 21",18,-92,-119,-112
"8/6K1/8/8/8/2k5/2np4/8 w - - 0 62",-590,-1150,-1205,-1226
"r3kbr1/pp1npp1R/2pp4/3b4/q2NN3/2B1PP2/P1PP1K2/6RQ b q - 5 13",121,230,237,256
"2b1k1nr/2p2pp1/1pNp3p/2P1p3/2P1P1P1/1n1P3N/r2BB2P/3K3R w - - 1 18",-503,-299,-299,-360
"2krr3/pppnpp1p/1b2b1p1/8/P3P3/1P2NP2/1BP1BKPP/1R1R4 w - - 5 15",67,0,7,-9
"r4k1r/p3npp1/8/2p5/1p6/P4PP1/1PPNR1K1/R7 w - - 2 19",112,19,14,-9
"8/k1p5/p2b3p/2P4q/3P4/8/1nQK4/5R2 b - - 18 52",231,154,166,175
"2r3k1/3r2p1/3np3/1p1b1pR1/p1pP1P2/P1P5/1P1N1KB1/R7 w - - 3 25",-10,-270,-217,-198
"8/p5p1/2pk4/1p6/5r2/PPP2B2/6K1/8 b - - 0 28",503,455,416,430
"4kb2/3b3p/2p1p3/p2p4/r4P2/B5P1/K1P1Q3/3R4 w - - 0 27",332,269,281,321
"1R6/4r1k1/5r2/5B2/4p2p/7P/2P2P2/5K2 w - - 5 46",-76,-139,-138,-165
"r5r1/p1q1nk1p/1p2bp1P/2pp2pN/Pb3P2/2NQP3/1PP3P1/2KR1B1R b - - 2 17",-195,-26,-22,2
"r3b1k1/5pp1/1p5p/3pN3/3Pn3/3BQ2P/1q3PP1/2R3K1 w - - 4 27",30,-9,-9,1
