fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
r1b1k2r/p1b3pp/2p1pq2/2Nn1p2/1pBB4/5Q1P/PPP2PP1/2KR3R b q - 3 17,-7.0,-146.0,f6e7,quiet,27,0.188486,139.0,0
3rkb1r/1p3pp1/2b1pn1p/p1p5/2P2B1P/2N2P2/PP2BP2/3RK1R1 w k - 3 13,72.0,-29.0,d1d8,capture,25,0.143796,101.0,0
5b2/2p5/ppk5/5p2/P1KBp3/1PN5/2P5/8 w - - 0 28,108.0,104.0,d4e5,quiet,13,0.005252,4.0,0
8/8/8/5p1p/7P/1R5K/5k2/3r4 w - - 2 70,-154.0,-242.0,b3b2,quiet,7,0.092915,88.0,0
1k6/4q2p/5p1P/p2R2p1/PpN1rbP1/1P6/2P3Q1/1K6 w - - 0 48,-2.0,181.0,d5b5,quiet,18,0.242098,183.0,0
5rk1/8/q5pb/3Pp3/p1N1Pn1p/1P3R1P/1PR3PK/3Q4 b - - 0 30,-194.0,-277.0,h6g7,quiet,20,0.077868,83.0,0
r4b1r/pp3kpp/4bp2/3p1n2/8/NPq5/P3BPPP/1RBQ1RK1 b - - 1 12,87.0,63.0,c3a5,quiet,25,0.032967,24.0,0
2k1r3/pp6/2p1P3/3p4/1b1P1B2/PPNb3r/1K3R2/6R1 b - - 0 36,-21.0,63.0,b4c3,capture,18,0.119868,84.0,0
2bq1rk1/bp3pp1/3p4/p2n3p/P2P4/5PP1/1P3N1P/R1BQ1RK1 w - - 0 15,153.0,80.0,d1d3,quiet,24,0.093838,73.0,0
3b2k1/3P1rp1/4Q2p/4p3/5n2/P7/1P6/1KR5 w - - 2 30,485.0,870.0,e6e8,quiet,13,0.051125,385.0,0
1r4k1/2p2b2/8/3Pp1p1/1b2B3/6N1/P1p2B1P/1R4K1 w - - 0 31,76.0,318.0,b1c1,quiet,16,0.254167,242.0,0
6k1/1p3pp1/p7/2p2P2/2Pnq2P/P1R5/KQ1R4/3B1r2 w - - 5 37,223.0,158.0,c3h3,quiet,18,0.070175,65.0,0
6k1/p2r1q1p/p1b2pp1/5r2/2PB1N2/1Q6/P2R1PP1/6K1 w - - 3 31,-104.0,-178.0,g2g4,quiet,19,0.090525,74.0,0
4k3/pb6/p2PP3/8/7P/6P1/8/2b2K2 b - - 0 37,350.0,396.0,b7d5,quiet,10,0.024832,46.0,0
4r1k1/1p3p1p/2p3p1/5b2/p4P2/P2q3P/1P1Q1PB1/2R3K1 w - - 0 20,-237.0,-187.0,d2b4,quiet,19,0.050631,50.0,0
8/1p4k1/p1r4p/6p1/PP4N1/2P2PP1/2R5/2b2K2 b - - 2 35,-33.0,-111.0,h6h5,quiet,15,0.107171,78.0,0
7Q/4k1p1/2p2n2/p1b5/2BpP1q1/1P6/PB1P3P/R3KR2 w Q - 1 18,819.0,1008.0,e4e5,quiet,19,0.005873,189.0,0
r4rk1/pp3pbp/1q1pbn2/8/2BR4/1PN1PPpP/3B2P1/3QK2R b - - 5 15,211.0,234.0,e6c4,capture,25,0.022526,23.0,0
1k5r/1p3R2/2n2p2/6p1/P5P1/1Pb2P1p/7P/1K1R4 b - - 3 30,113.0,190.0,c6e5,quiet,16,0.091964,77.0,0
