fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
r1b1k1nr/ppp2p2/n1q3p1/4P3/1bP5/3PPN2/P3K1Bp/R1BQ3R w kq - 0 12,-359.0,-383.0,a2a3,quiet,26,0.013062,24.0,0
2nk3r/3b1p2/2p3p1/1prp2Pp/3N1K1P/3B1P2/3R4/R7 b - - 1 36,294.0,347.0,h8e8,quiet,19,0.035994,53.0,0
r6r/p3nkp1/4Np2/n7/Pp5p/1P6/1BP1B1PP/1K1R1R2 w - - 8 27,493.0,538.0,e6g7,capture,21,0.012076,45.0,0
8/4pk2/1r3p1p/3RP1pP/6P1/5P2/4PK2/8 w - - 1 30,141.0,160.0,d5c5,quiet,13,0.022789,19.0,0
3k4/7p/rp1P1p2/1R6/4p3/bB2P2P/1r6/K2R4 w - - 1 31,-86.0,-156.0,b3c4,quiet,15,0.089243,70.0,0
8/4k3/8/7r/5p2/8/5K2/R7 w - - 2 72,-172.0,-44.0,a1a4,quiet,5,0.166125,128.0,0
8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,-451.0,-335.0,e1a1,quiet,11,0.057540,116.0,0
2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,219.0,247.0,f3f4,quiet,17,0.026487,28.0,0
r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,63.0,152.0,e5b8,quiet,23,0.116098,89.0,0
r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,-100.0,-6.0,b2b3,quiet,23,0.131431,94.0,0
8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,241.0,153.0,d4d6,quiet,9,0.093187,88.0,0
3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,-171.0,-39.0,f6b2,capture,24,0.172081,132.0,0
1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,-214.0,-202.0,h1h2,quiet,8,0.012306,12.0,0
