fen,static_cp,search_cp,bestmove,class,pieces,gap_sigmoid,gap_cp,clamped
8/8/1P6/3NR3/6pk/1r4p1/6K1/8 w - - 1 49,258.0,168.0,e5e2,quiet,8,0.090814,90.0,0
5k2/R7/3r4/5KP1/8/p7/8/8 b - - 9 50,-62.0,-77.0,d6d3,quiet,6,0.020743,15.0,0
r2qk1r1/pb3pbp/1p2p2p/2p4Q/1nPP1PPP/P1NP3R/1P2N3/2KR1B2 b q - 0 10,45.0,-90.0,b4a6,quiet,29,0.191100,135.0,0
2kr4/pp1b3p/1q1b1Qn1/3pp3/5p2/N1PB4/PP4PP/R1B2R1K w - - 4 16,381.0,282.0,d3g6,capture,24,0.064385,99.0,0
r1b1k1nr/ppp2p2/n1q3p1/4P3/1bP5/3PPN2/P3K1Bp/R1BQ3R w kq - 0 12,-263.0,-270.0,a2a3,quiet,26,0.005880,7.0,0
2nk3r/3b1p2/2p3p1/1prp2Pp/3N1K1P/3B1P2/3R4/R7 b - - 1 36,318.0,299.0,h8e8,quiet,19,0.013547,19.0,0
r6r/p3nkp1/4Np2/n7/Pp5p/1P6/1BP1B1PP/1K1R1R2 w - - 8 27,517.0,585.0,e6g7,capture,21,0.015192,68.0,0
8/4pk2/1r3p1p/3RP1pP/6P1/5P2/4PK2/8 w - - 1 30,205.0,200.0,e5f6,capture,13,0.005214,5.0,0
3k4/7p/rp1P1p2/1R6/4p3/bB2P2P/1r6/K2R4 w - - 1 31,110.0,-88.0,d1g1,quiet,15,0.277219,198.0,0
8/4k3/8/7r/5p2/8/5K2/R7 w - - 2 72,-120.0,-43.0,a1a4,quiet,5,0.104571,77.0,0
8/2B2k2/5n2/6R1/3N4/1P1n2P1/P5K1/4r3 b - - 2 28,-260.0,-289.0,e1d1,quiet,11,0.023644,29.0,0
2kr4/1pp1bp2/6p1/pR2P3/7p/P4q2/2Q2P1K/6R1 b - - 1 28,383.0,279.0,f3f4,quiet,17,0.067810,104.0,0
r1r3k1/5pp1/1Rn2n1p/1Nppbq2/5P2/3P4/1P4BP/2BQ1RK1 b - - 0 20,323.0,134.0,e5b8,quiet,23,0.181403,189.0,0
r1br2k1/1p3pb1/q6p/P2nNp2/3p4/6P1/1Q1B1PBP/R3R1K1 w - - 0 29,-9.0,-14.0,b2d4,capture,23,0.007188,5.0,0
8/k7/2b5/1p4P1/p2R4/4R3/6r1/4K3 w - - 4 47,-66.0,81.0,d4d6,quiet,9,0.208357,147.0,0
3qk2r/r3npp1/2n2b2/1B1N3p/1P2p3/P3P2P/1B3P1P/R2QK2R b Qk - 0 12,-139.0,39.0,f6b2,capture,24,0.245897,178.0,0
1r6/8/B7/6R1/3k4/4n2P/5p2/7K w - - 1 50,-173.0,-280.0,h1h2,quiet,8,0.103417,107.0,0
